"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"sus";"tbaix";"mag";"serv";"cp.sus";"cp.sus.fisc";"tbaix.sus.fisc";"cp.sus.fisc.penal";"tbaix.sus.fisc.penal";"tcl";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"304";"TRF_total_2019";2019;"TRF";"TRF";"total";10204631793,1;15995322;10636165;4195719;5359157;1820;27505;6440446;4864022;4994699;4837127;4979244;0,545818872041712;194,843010361752;2944,59175824176;1904,14869224768;0,790598218089306;6298080,2208658
"305";"TRF1_1º Grau_2012";2012;"TRF1";"TRF 1ª Região";"1º Grau";1440198211,12;2906427;2124660;0;1033172;359;6481;2124660;1314682;921908;1309636;919967;0,6445216067701;159,415522295942;2877,91643454039;1393,95784159849;0,743956749301532;1236586,67101779
"306";"TRF1_1º Grau_2013";2013;"TRF1";"TRF 1ª Região";"1º Grau";1624917003,55;3024495;2146875;0;1039706;397;6845;2146875;1291737;946097;1286655;943868;0,656238148847989;151,89276844412;2618,90680100756;1562,86200478789;0,696558307290557;1355045,21318742
"307";"TRF1_1º Grau_2014";2014;"TRF1";"TRF 1ª Região";"1º Grau";1854957109,5;3428493;2320757;0;924996;532;7205;2320757;1423678;834323;1418393;832466;0,730203328401137;128,382512144344;1738,71428571429;2005,36770915766;0,606850236040024;1371781,62017737
"308";"TRF1_1º Grau_2015";2015;"TRF1";"TRF 1ª Região";"1º Grau";2260448678,51;3202973;2352416;0;850557;444;5237;2352416;1371270;802377;1370996;802325;0,734447652228102;162,413022722933;1915,66891891892;2657,6098703673;0,620102412964296;1293858,85819186
"309";"TRF1_1º Grau_2016";2016;"TRF1";"TRF 1ª Região";"1º Grau";1804458454,83;3584406;2749152;0;835254;445;5827;2749152;1640927;786325;1640650;786113;0,766975616043495;143,342028488073;1876,97528089888;2160,37092289292;0,545682583611438;1440604,89304486
"310";"TRF1_1º Grau_2017";2017;"TRF1";"TRF 1ª Região";"1º Grau";2326843173,47;3628454;2818831;1267005;809623;536;5604;1551826;1127602;756677;1127290;756549;0,657149910923336;144,472341184868;1510,49067164179;2873,98353736245;0,417718544731756;1811145,35024014
"311";"TRF1_1º Grau_2018";2018;"TRF1";"TRF 1ª Região";"1º Grau";2400278074,42;3878997;2684191;1341280;1194806;511,643835616438;5541;1342911;901279;1124118;901018;1123840;0,529180755773792;215,630030680383;2335,2299330656;2008,92703453113;0,628159778641402;1789098,94936391
"312";"TRF1_1º Grau_2019";2019;"TRF1";"TRF 1ª Região";"1º Grau";2584714982;4772483;3022765;1281827;1749718;526;5518;1740938;1338858;1634473;1338620;1628806;0,49874235673753;317,092787241754;3326,46007604563;1477,21803284872;0,880137593099642;1850626,55290489
"313";"TRF2_1º Grau_2012";2012;"TRF2";"TRF 2ª Região";"1º Grau";768724184,1;1297753;1005728;0;355439;200;3385;1005728;459197;291664;456530;290975;0,726111979706462;105,004135893648;1777,195;2162,74574287008;0,521662770370339;557783,718768029
"314";"TRF2_1º Grau_2013";2013;"TRF2";"TRF 2ª Região";"1º Grau";831205540,69;1294723;975573;0;391850;235;3509;975573;433040;304417;429892;303508;0,697348390350677;111,669991450556;1667,44680851064;2121,23399436009;0,4349314078847;697829,576107457
"315";"TRF2_1º Grau_2014";2014;"TRF2";"TRF 2ª Região";"1º Grau";921708199,58;1322840;934210;0;421493;219;3557;934210;429680;331378;426495;330512;0,681372652777358;118,496766938431;1924,62557077626;2186,76988604793;0,516477619285844;639934,796123428
"316";"TRF2_1º Grau_2015";2015;"TRF2";"TRF 2ª Região";"1º Grau";1007821329,59;1182404;850562;0;331842;244;2692;850562;378753;269500;375970;268371;0,719349731563831;123,269687964339;1360,00819672131;3037,0517583368;0,450133907007203;596202,5873241
"317";"TRF2_1º Grau_2016";2016;"TRF2";"TRF 2ª Região";"1º Grau";1061845349,33293;1220679;910428;0;310251;243;2701;910428;414706;280478;411936;279417;0,745837357732868;114,865235098112;1276,75308641975;3422,53642803063;0,437730267157816;638331,458809681
"318";"TRF2_1º Grau_2017";2017;"TRF2";"TRF 2ª Região";"1º Grau";957968755,667167;1347399;945192;550127;402207;232;2596;395065;268415;321964;265548;321069;0,495520976529967;154,933359013867;1733,65086206897;2381,78041572416;0,513116280744812;625723,665470044
"319";"TRF2_1º Grau_2018";2018;"TRF2";"TRF 2ª Região";"1º Grau";980860690,181144;1298706;850846;454754;447860;249,920547945205;2600;396092;290863;366627;287960;365709;0,469330009289628;172,253846153846;1792,00951535282;2190,10559143738;0,596366828332111;613228,272643528
"320";"TRF2_1º Grau_2019";2019;"TRF2";"TRF 2ª Região";"1º Grau";1069228606,92874;1276834;866046;437987;410788;247,679452054795;2483;428059;334852;362273;332105;361413;0,510294487552557;165,440193314539;1658,54695087552;2602,87205791977;0,622470760258345;580610,404655799
"321";"TRF3_1º Grau_2012";2012;"TRF3";"TRF 3ª Região";"1º Grau";1060612800,79;2599673;2048321;0;825369;284;4331;2048321;940818;720607;938303;719833;0,682510454199432;190,572385130455;2906,22887323944;1285,01652084098;0,804768803787543;894459,373440169
"322";"TRF3_1º Grau_2013";2013;"TRF3";"TRF 3ª Região";"1º Grau";1139267176,58;2801562;2160986;0;761864;292;4407;2160986;949468;691522;946454;690616;0,728057419396751;172,875879282959;2609,12328767123;1495,36817145842;0,748599065260042;922544,56630947
"323";"TRF3_1º Grau_2014";2014;"TRF3";"TRF 3ª Região";"1º Grau";1254300711,13;3056322;2326604;0;706711;323;4475;2326604;1043104;652094;1039975;651044;0,768770764337004;157,924245810056;2187,95975232198;1774,84249025415;0,721074458288777;902880,406477065
"324";"TRF3_1º Grau_2015";2015;"TRF3";"TRF 3ª Região";"1º Grau";1144507892,7;3399004;2638035;0;760969;347;3464;2638035;1138387;711841;1135155;710418;0,776120004566043;219,679272517321;2192,99423631124;1504,01382014248;0,908433996333235;782024,894342904
"325";"TRF3_1º Grau_2016";2016;"TRF3";"TRF 3ª Região";"1º Grau";1689655613,99;3582135;2890538;0;691597;315;3681;2890538;1224130;641333;1218894;639701;0,8069316203884;187,882912252105;2195,54603174603;2443,12166477009;0,581870491207155;1099387,25140172
"326";"TRF3_1º Grau_2017";2017;"TRF3";"TRF 3ª Região";"1º Grau";1652431676,43;3724090;2980651;1597687;743439;318;3558;1382964;796229;687658;789769;685637;0,650377186262435;208,948566610455;2337,85849056604;2222,68629494821;0,565932227164946;1211517,85865724
"327";"TRF3_1º Grau_2018";2018;"TRF3";"TRF 3ª Região";"1º Grau";1550816730,1;3830744;2867754;1468826;962990;340,684931506849;3486;1398928;873270;896915;865969;895032;0,592284744855664;276,244979919679;2826,62927221552;1610,41831182048;0,561050645429391;1595278,44284895
"328";"TRF3_1º Grau_2019";2019;"TRF3";"TRF 3ª Região";"1º Grau";1709800005,684;4101913;3038156;1529471;1063757;365,635616438356;3456;1508685;985327;982178;977286;979929;0,586479695169026;307,80005787037;2909,3363780094;1607,32197831272;0,797514123467381;1228729,33677905
"329";"TRF4_1º Grau_2012";2012;"TRF4";"TRF 4ª Região";"1º Grau";1037768486;1868017;1290524;0;595365;323;4108;1290524;843297;559566;836982;557653;0,681285020425403;144,928188899708;1843,23529411765;1743,07943194511;0,671405435843252;830575,640633018
"330";"TRF4_1º Grau_2013";2013;"TRF4";"TRF 4ª Região";"1º Grau";1130080350;1878860;1272652;0;537904;327;4178;1272652;798407;501992;791864;499264;0,713707248012093;128,746768788894;1644,96636085627;2100,89597772093;0,578759043502351;862645,699631252
"331";"TRF4_1º Grau_2014";2014;"TRF4";"TRF 4ª Região";"1º Grau";1251187578;2199799;1340956;0;584537;361;4276;1340956;848702;549775;842169;547577;0,734277086224696;136,701824134705;1619,21606648199;2140,47627096317;0,650073434430349;842330,990620829
"332";"TRF4_1º Grau_2015";2015;"TRF4";"TRF 4ª Região";"1º Grau";1175440662,63982;2050092;1492373;0;557719;331;3268;1492373;933286;494304;924146;492396;0,727954160105985;170,66064871481;1684,95166163142;2107,58583200469;0,631300535300791;779970,826043086
"333";"TRF4_1º Grau_2016";2016;"TRF4";"TRF 4ª Região";"1º Grau";1226620121,1549;2210564;1599527;0;611037;337;3572;1599527;956061;549008;944832;545739;0,723583212248096;171,062989921613;1813,16617210682;2007,44000961464;0,581611206390908;938322,704245149
"334";"TRF4_1º Grau_2017";2017;"TRF4";"TRF 4ª Região";"1º Grau";1317095804,27563;2293256;1655091;818646;638165;363;3609;836445;580923;566933;568333;564689;0,56723133574301;176,825990579108;1758,0303030303;2063,87972432776;0,531021243405473;1063401,90154845
"335";"TRF4_1º Grau_2018";2018;"TRF4";"TRF 4ª Região";"1º Grau";1188021043,164;2427177;1685825;793459;741352;362,268493150685;3710;892366;627007;635640;613022;632304;0,546217890725327;199,825336927224;2046,41588770911;1602,50602030345;0,542601785383415;1165318,68680307
"336";"TRF4_1º Grau_2019";2019;"TRF4";"TRF 4ª Região";"1º Grau";1182802508,9853;2562636;1688699;808086;873937;352,783561643836;3548;880613;623778;786811;608286;783028;0,501902482117922;246,318207440812;2477,26111706506;1353,41850612264;0,750297320849409;1043623,61192165
"337";"TRF5_1º Grau_2012";2012;"TRF5";"TRF 5ª Região";"1º Grau";625812262,1875;1000204;598524;0;470884;214;3012;598524;346586;416149;344883;415492;0,529212040743688;156,33598937583;2200,39252336449;1329,01577073653;0,921433430077718;450919,17271219
"338";"TRF5_1º Grau_2013";2013;"TRF5";"TRF 5ª Região";"1º Grau";688317400,9205;1018510;610765;0;568775;164;3204;610765;343411;523326;341526;522380;0,441561693061433;177,520287141074;3468,14024390244;1210,17520270845;0,897498678725002;582039,854077668
"339";"TRF5_1º Grau_2014";2014;"TRF5";"TRF 5ª Região";"1º Grau";793669027,75;1068320;614235;0;591245;180;3422;614235;335793;530173;334049;529634;0,446565635764565;172,777615429573;3284,69444444444;1342,36911559506;0,95145568618735;556656,508220931
"340";"TRF5_1º Grau_2015";2015;"TRF5";"TRF 5ª Região";"1º Grau";919431594,73;1159921;640350;0;519571;181;2483;640350;338368;496109;336010;494945;0,552063459494224;209,251308900524;2870,55801104972;1769,59760019324;0,934780128585532;529477,451289993
"341";"TRF5_1º Grau_2016";2016;"TRF5";"TRF 5ª Região";"1º Grau";947039843,94;1231193;723618;0;507575;202;2546;723618;378446;482165;376864;481424;0,587737259714764;199,361743912019;2512,74752475248;1865,8126265872;0,836226738142129;575709,885897209
"342";"TRF5_1º Grau_2017";2017;"TRF5";"TRF 5ª Região";"1º Grau";1054536117;1421106;757612;309067;663494;178;2770;448545;305995;636958;303730;636424;0,403353659359069;239,528519855596;3727,49438202247;1589,3679777059;0,867262560414046;733830,824769099
"343";"TRF5_1º Grau_2018";2018;"TRF5";"TRF 5ª Região";"1º Grau";1054022978,06;1432463;846543;248752;585920;212;2885;597791;412019;556262;408526;555239;0,505014315149559;203,091854419411;2763,77358490566;1798,91961028809;0,682204968144661;813888,82509906
"344";"TRF5_1º Grau_2019";2019;"TRF5";"TRF 5ª Região";"1º Grau";820287521,048267;1450008;846755;138348;603253;187,671232876712;2545;708407;407463;571260;407086;568364;0,540084320631871;237,034577603143;3214,41379562044;1359,77362905492;0,847001233864952;671030,899691253
"345";"TRF_1º Grau_2012";2012;"TRF";"TRF";"1º Grau";4933115944,1975;9672074;7067757;0;3280229;1380;21317;7067757;3904580;2909894;3886334;2903920;0,6608556758354;153,878547638035;2376,97753623188;1503,89376601374;0,731406197149717;3970324,5765712
"346";"TRF_1º Grau_2013";2013;"TRF";"TRF";"1º Grau";5413787471,7405;10018150;7166851;0;3300099;1415;22143;7166851;3816063;2967354;3796391;2959636;0,670587982811198;149,035767511177;2332,22544169611;1640,49244332988;0,669585012284205;4420104,90931327
"347";"TRF_1º Grau_2014";2014;"TRF";"TRF";"1º Grau";6075822625,96;11075774;7536762;0;3228982;1615;22935;7536762;4080957;2897743;4061081;2891233;0,708464437790081;140,788402005668;1999,36965944272;1881,6526775188;0,670262311903626;4313584,32161962
"348";"TRF_1º Grau_2015";2015;"TRF";"TRF";"1º Grau";6507650158,16982;10994394;7973736;0;3020658;1547;17144;7973736;4160064;2774131;4142277;2768455;0,725254707080718;176,193303779748;1952,59082094376;2154,38164736618;0,695323604131442;3981534,61719194
"349";"TRF_1º Grau_2016";2016;"TRF";"TRF";"1º Grau";6729619383,24783;11828977;8873263;0;2955714;1542;18327;8873263;4614270;2739309;4593176;2732394;0,750129364525774;161,276477328532;1916,80544747082;2276,81683114396;0,5823074565064;4692356,19339862
"350";"TRF_1º Grau_2017";2017;"TRF";"TRF";"1º Grau";7308875526,84279;12414305;9157377;4542532;3256928;1627;18137;4614845;3079164;2970190;3054670;2964368;0,586252296655404;179,573689143739;2001,79963122311;2244,10104455573;0,544358258080885;5445619,60068498
"351";"TRF_1º Grau_2018";2018;"TRF";"TRF";"1º Grau";7173999515,92515;12868087;8935159;4307071;3932928;1676,51780821918;18222;4628088;3104438;3579562;3076495;3572124;0,540600321270279;215,834046756668;2345,89097754805;1824,08615563904;0,597663653582245;5976813,17675852
"352";"TRF_1º Grau_2019";2019;"TRF";"TRF";"1º Grau";7366833624,64631;14163874;9462421;4195719;4701453;1679,7698630137;17550;5266702;3690278;4336995;3663383;4321540;0,528352739298295;267,88905982906;2798,86733505568;1566,92699568544;0,804064166761995;5374620,80595265
"353";"TRF_2º Grau_2012";2012;"TRF";"TRF";"2º Grau";1482189244,92217;1558384;965376;0;593008;130;3752;965376;965376;593008;965376;593008;0,619472479183565;158,051172707889;4561,6;2499,44224179467;0,80378506013423;737769,373196572
"354";"TRF_2º Grau_2013";2013;"TRF";"TRF";"2º Grau";1541083608,11;1419509;947726;0;471783;134;3482;947726;947726;471783;947726;471783;0,667643530262929;135,491958644457;3520,76865671642;3266,50940816011;0,794471443872038;593832,545699387
"355";"TRF_2º Grau_2014";2014;"TRF";"TRF";"2º Grau";1707308536,83;1689349;1219102;0;470247;136;3277;1219102;1219102;470247;1219102;470247;0,721640111072372;143,49923710711;3457,69852941176;3630,66332550766;0,786741659163126;597714,630365719
"356";"TRF_2º Grau_2015";2015;"TRF";"TRF";"2º Grau";1534480854,84487;1677145;1100005;0;577140;133;3453;1100005;1100005;577140;1100005;577140;0,65587948567357;167,141615986099;4339,3984962406;2658,76711862784;0,880515190262308;655457,175960892
"357";"TRF_2º Grau_2016";2016;"TRF";"TRF";"2º Grau";1435307254,71936;1632947;1170880;0;462067;138;3518;1170880;1170880;462067;1170880;462067;0,717034906827962;131,34366117112;3348,3115942029;3106,27518242887;0,782737496211015;590321,79017451
"358";"TRF_2º Grau_2017";2017;"TRF";"TRF";"2º Grau";1416184745,28681;1653690;1167705;0;485985;138;3446;1167705;1167705;485985;1167705;485985;0,706120856992544;141,028728961114;3521,63043478261;2914,0503210733;0,661800627237587;734337,472644206
"359";"TRF_2º Grau_2018";2018;"TRF";"TRF";"2º Grau";1650602060,06629;1638881;1153313;0;485568;138;3475;1153313;1153313;485568;1153313;485568;0,703719794176636;139,731798561151;3518,60869565217;3399,32215480898;0,621861824934236;780829,407001065
"360";"TRF_2º Grau_2019";2019;"TRF";"TRF";"2º Grau";1650359169,70124;1831449;1173738;0;657711;136;3389;1173738;1173738;657711;1173738;657711;0,640879434808176;194,072292711714;4836,11029411765;2509,24672036995;0,712225128011562;923459,414913149
