"";"chave";"ano";"sigla";"dsc_tribunal";"secao";"dpjio";"tram";"cp";"sus";"tbaix";"mag";"serv";"cp.sus";"cp.sus.fisc";"tbaix.sus.fisc";"cp.sus.fisc.penal";"tbaix.sus.fisc.penal";"tcl";"ips";"ipm";"dpjio_tbaix";"eff";"target.tbaix"
"291";"TRF4_RS_2019";2019;"TRF4";"TRF 4ª Região";"RS";432336749,437874;1144316;732955;353157;411361;145,665753424658;1461;379798;269426;369725;265125;368838;0,480052682204209;281,561259411362;2824,00626316581;1050,99109890795;0,817710322434942;451061,934624587
"292";"TRF4_PR_2019";2019;"TRF4";"TRF 4ª Região";"PR";495843272,918554;787493;531927;252923;255566;124,641095890411;1248;279004;198576;230673;190012;228452;0,521922292683839;204,780448717949;2050,4152195894;1940,1769911434;0,688624366586755;331751,258138524
"293";"TRF4_SC_2019";2019;"TRF4";"TRF 4ª Região";"SC";254622486,628871;630827;423817;202006;207010;82,4767123287671;839;221811;155776;186413;153149;185738;0,517257783550712;246,73420738975;2509,920608557;1230,0009015452;0,712157131602525;260810,419158543
"294";"TRF4_2º Grau_2019";2019;"TRF4";"TRF 4ª Região";"2º Grau";211176274,756563;337606;166556;0;171050;26;558;166556;166556;171050;166556;171050;0,493344312601079;306,541218637993;6578,84615384615;1234,58798454582;1;171050
"295";"TRF4_total_2019";2019;"TRF4";"TRF 4ª Região";"total";2002674780,91;2900235;1855255;808086;1044980;379;5084;1047169;790334;957854;774842;954071;0,500523146295986;205,542879622345;2757,20316622691;1916,47187593064;0,785460382637783;1214673,61192165
"296";"TRF5_SE_2019";2019;"TRF5";"TRF 5ª Região";"SE";61055711,5288096;95895;55066;17354;40829;13,2109589041096;193;37712;27631;38554;27602;38260;0,48015686074789;211,549222797927;3090,54023226877;1495,40061056625;0,802238004770921;47691,5825135025
"297";"TRF5_AL_2019";2019;"TRF5";"TRF 5ª Região";"AL";85756950,4115908;203626;107388;14355;96238;20,213698630137;283;93033;53228;90731;53208;90471;0,491533304098356;340,063604240283;4761,02873407428;891,092400211879;1;90471
"298";"TRF5_PE_2019";2019;"TRF5";"TRF 5ª Região";"PE";224685246,625981;348971;218217;23188;130754;50,5753424657534;595;195029;103984;117441;103801;117020;0,598646952112296;219,75462184874;2585,33098591549;1718,38143862506;0,651939949138722;179495,059559696
"299";"TRF5_RN_2019";2019;"TRF5";"TRF 5ª Região";"RN";106310813,72697;173022;93463;17478;79559;24,6164383561644;322;75985;45022;77059;44991;76277;0,48851128941007;247,077639751553;3231,94602114636;1336,25125663935;0,974587714080131;78265,9158308746
"300";"TRF5_CE_2019";2019;"TRF5";"TRF 5ª Região";"CE";218543751,400935;385177;216068;40900;169109;52,6301369863014;852;175168;98902;163411;98803;162614;0,508799600321834;198,484741784038;3213,1590317543;1292,3247810639;0,950420707561362;171096,861322859
"301";"TRF5_PB_2019";2019;"TRF5";"TRF 5ª Região";"PB";123935047,35398;243317;156553;25073;86764;26,4246575342466;300;131480;78696;84064;78681;83722;0,602444969850259;289,213333333333;3283,44841886988;1428,41555661311;0,804938114180906;104010,48046432
"302";"TRF5_2º Grau_2019";2019;"TRF5";"TRF 5ª Região";"2º Grau";152538109,316966;110890;71279;0;39611;15;391;71279;71279;39611;71279;39611;0,642790152403283;101,306905370844;2640,73333333333;3850,9027622874;0,4668059966791;84855,3794976847
"303";"TRF5_total_2019";2019;"TRF5";"TRF 5ª Região";"total";1257140281,72;1560898;918034;138348;642864;202;3997;779686;478742;610871;478365;607975;0,548090401040385;160,836627470603;3182,49504950495;1955,53069034819;0,804320724874587;755886,279188937
